ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
ctq_27	Integer	N/A	Recommended	27.  I believe that I was sexually abused.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_27	childhoodsexuallyabused	ctq0027	ctq27	ctq27_t3	ctq28_q27	ctq_believe_sex_abuse	ctq_q27	ctq_sf_15	i_believe_that_i_was_sexua	q7_2	q98_2	sexuallyabused	t1ctq27	v2_ctq_27sexual_abuse"
ctq_28	Integer	N/A	Recommended	28.  My family was a source of strength and support. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"CTQ4_28	ctq0028	ctq28	ctq28_q28	ctq28_t3	ctq_family_source_strength	ctq_q28	ctq_sf_20	my_family_was_a_source_of	q7_3	q98_3	rctq28_t3	strengthandsupport	t1ctq28	v2_ctq_28strength"
ctqscore_ea	Float	N/A	Recommended	Emotional Abuse	N/A	"sums: 3	8	14	18	25	31"	"ctq28_emotionalabuse	ctq_emoabuse_score	ctq_emotabuse	ctq_emotional_abuse	ctqemo_t3	t1ctq_eax4a"
ctqscore_en	Float	N/A	Recommended	Emotional Neglect	N/A	"sums: 5	7	13	19	28	30"	"ctq28_emotionalneglect	ctq_emoneglect_score	ctq_emotional_neglect	ctq_emotneg	ctqemoneg_t3	t1ctq_enx4a"
ctqscore_pa	Float	N/A	Recommended	Physical Abuse	N/A	"sums: 9	11	12	15	17	29"	"ctq28_physicalabuse	ctq_physabuse	ctq_physabuse_score	ctq_physical_abuse	ctqphys_t3	t1ctq_pax4a"
ctqscore_pn	Float	N/A	Recommended	Physical Neglect	N/A	"sums: 1	2	4	6	26"	"ctq28_physicalneglect	ctq_physical_neglect	ctq_physneg	ctq_physneglect_score	ctqphysneg_t3	t1ctq_pnx4a"
ctqscore_sa	Float	N/A	Recommended	"Sexual Abuse
"	N/A	"sums: 20	21	23	24	27"	"ctq28_sexualabuse	ctq_sexabuse_score	ctq_sexual_abuse	ctq_sexualabuse	ctqsexual_t3	t1ctq_sax4a"
ctqscore_val	Float	N/A	Recommended	Validity	N/A	"sums: 10	16	22"	"ctq28_minimizationdenial	ctq_denial"
subject_description	String	4000	Recommended	"Subject related information (e.g the affection	 phenotype	 disease information	 etc.)."	N/A	N/A	N/A
site	String	101	Recommended	Site	N/A	Study Site	siteid
study	String	100	Recommended	Study; The code for each individual study	N/A	N/A	N/A
week	Float	N/A	Recommended	Week in level/study	N/A	99=week 10-week 14	fktimepointid
ctq_29	Integer	N/A	Recommended	"29. Someone in the family hit	 slapped or pushed me hard enough to hurt	 but not to leave a bruise."	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	N/A
ctq_30	Integer	N/A	Recommended	30. Someone in the family left for a long time.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	N/A
ctq_31	Integer	N/A	Recommended	31. My parents shouted at or insulted each other.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	N/A
ctq_32	Integer	N/A	Recommended	32. I saw members of my family hit or hurt each other.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	N/A
ctqclass_ea	Integer	N/A	Recommended	Emotional Abuse Classification	0::3	0=None; 1=Low; 2=Moderate; 3=Severe	t1ctq_eax4
ctqclass_en	Integer	N/A	Recommended	Emotional Neglect Classification	0::3	0=None; 1=Low; 2=Moderate; 3=Severe	t1ctq_enx4
ctqclass_pa	Integer	N/A	Recommended	Physical Abuse Classification	0::3	0=None; 1=Low; 2=Moderate; 3=Severe	t1ctq_pax4
ctqclass_pn	Integer	N/A	Recommended	Physical Neglect Classification	0::3	0=None; 1=Low; 2=Moderate; 3=Severe	t1ctq_pnx4
ctqclass_sa	Integer	N/A	Recommended	Sexual Abuse Classification	0::3	0=None; 1=Low; 2=Moderate; 3=Severe	t1ctq_sax4
version_form	String	121	Recommended	Form used/assessment name	N/A	N/A	N/A
timept	Integer	N/A	Recommended	Time Point	N/A	888 = not applicable; 999 = missing	timepoint
childhoodhitorhurt	Integer	N/A	Recommended	How Often Kids Threatened You	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true; -99= N/A ; 77= Refused ; 88= Missing	N/A
ctq_33	Integer	N/A	Recommended	I got hit so hard by someone in my family that I had to see a doctor or go to the hospital	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused ; 88= Missing	"ctq9_t3	ctq_09a	ctq_9	ctq_sf_06"
ctqmiss_t3	Integer	N/A	Recommended	Number of missing items on CTQ	N/A	N/A	N/A
ctqtot_t3	Integer	N/A	Recommended	"Total score on CTQ	 not including denial/ minimization scale items."	0::140	N/A	N/A
ctqdenial1_t3	Integer	N/A	Recommended	Denial and minimization scale item 1 (item #10 endorsed )	0;1	0= No; 1= Yes	N/A
ctqdenial2_t3	Integer	N/A	Recommended	Denial and minimization scale item 2 (item #16 endorsed)	0;1	0= No; 1= Yes	N/A
ctqdenial3_t3	Integer	N/A	Recommended	Denial and minimization scale item 3 (item #22 endorsed)	0;1	0= No; 1= Yes	N/A
ctqdenialtot_t3	Integer	N/A	Recommended	Denial and minimization scale: number of items endorsed	N/A	N/A	N/A
primary_language	String	255	Recommended	Subject's Primary Language	N/A	N/A	userlanguage
ihend	Date	N/A	Recommended	date ended (today's date if still in progress)	N/A	N/A	enddate
restype	Integer	N/A	Recommended	Response Type	N/A	0 = IP Address; 1 = Survey Preview; 2 = Survey Test; 4 = Imported; 8 = Spam; 9 = Survey Preview Spam; 12 = Imported Spam; 16 = Offline; 17 = Offline Survey Preview; 32 = EX; 40 = EX Spam; 48 = EX Offline;	N/A
prog	Integer	N/A	Recommended	Progress	N/A	N/A	progress
gml_dur	Integer	N/A	Recommended	"Trial 1 duration of task	 seconds"	N/A	N/A	duration__in_seconds_
completed	Integer	N/A	Recommended	Checks if completed	0::3	"0=No; 1=Yes; 2=Yes	 lost; 3=Unverified"	finished
date_updated	Date	N/A	Recommended	Date record updated	N/A	N/A	recordeddate
externalreference	String	255	Recommended	External Data Reference	N/A	N/A	N/A
respondent	String	20	Recommended	Respondent	Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA	NA=Not Applicable	N/A
visit	String	60	Recommended	Visit name	N/A	N/A	N/A
ctq_pre_school	Integer	N/A	Recommended	"Please rate how stressful you feel your early life was	 compared to that of other children: During Pre-School Years"	1::6	1= Essentially Stress-free; 2= Less Stressful than Most Kids; 3= About Average; 4= More stressful than Most Kids; 5= Extremely Stressful; 6= The Most Stressful I'e Ever Know	N/A
ctq_pre_teen	Integer	N/A	Recommended	"Please rate how stressful you feel your early life was	 compared to that of other children: During Pre-Teen Years"	1::6	1= Essentially Stress-free; 2= Less Stressful than Most Kids; 3= About Average; 4= More stressful than Most Kids; 5= Extremely Stressful; 6= The Most Stressful I'e Ever Know	N/A
studyphase	Integer	N/A	Recommended	Study Phase	1::6; -888; -999	1=Phase 1: Treatment as Usual(TAU); 2=Phase 2: Screening Only; 3=Phase 3: Intervention; 4=Focus Groups; 5=Open Trial; 6=Randomized Trial; -888=Not Applicable; -999=Missing;	N/A
treatmentgroup	String	30	Recommended	Treatment condition	N/A	N/A	N/A
timepoint_label	String	50	Recommended	Timepoint/visit label	N/A	N/A	N/A
childexp2_4	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Someone in your family hit or grabbed you so hard that it left bruises or marks?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp2_5	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You were physically abused at home?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp3_1	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: People in your family said hurtful or insulting things to you?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp3_2	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You felt that someone in your family hated you?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp3_3	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You were emotionally abused at home?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp3_4	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Your parents or caregivers had strict rules for your behavior?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp4_1	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Someone in your family made you feel important?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp4_2	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Your family acted as a source of strength and support?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp4_3	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You felt loved and cared for?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp4_4	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Your parents or caregivers gave you a lot of love and affection?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp1_1	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Your family received help from a government assistance program?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp1_2	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You were homeless?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp1_3	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You had to do chores too hard or dangerous for someone your age?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp1_4	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: No one worried about making sure you had adequate food	 clothing	 or medical care?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp2_1	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You did not have anyone who would take care of you or protect you?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp2_2	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: Someone touched you or made you touch them in a sexual way against your will?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
childexp2_3	Integer	N/A	Recommended	"Before age 18	 how often did you have each of these other experiences: You were sexually abused at home?"	0::4	0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very often	N/A
ctq_emotionally_abused	Integer	N/A	Recommended	CTQ: Emotionally Abused	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_sexually_abused	Integer	N/A	Recommended	CTQ: Sexually Abused	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_bullying	Integer	N/A	Recommended	CTQ: Kids Called You Names	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_hitorhurt	Integer	N/A	Recommended	CTQ: How Often Kids Threatened You	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_bruises	Integer	N/A	Recommended	CTQ: How Often Family Hit with Bruises	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_insults	Integer	N/A	Recommended	CTQ: How Often Family Said Hurtful Things	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_physically_abused	Integer	N/A	Recommended	CTQ: How Often Physically Abused	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctqsf_emoabu_rs	Float	N/A	Recommended	CTQ-SF: Emotional Abuse - Raw Score	0 :: 8	Higher scores indicate more severe emotional abuse during childhood	N/A
ctqsf_phyabu_rs	Float	N/A	Recommended	CTQ-SF: Physical Abuse - Raw Score	0 :: 8	Higher scores indicate more severe physical abuse during childhood	N/A
ctqsf_sexabu_rs	Float	N/A	Recommended	CTQ-SF: Sexual Abuse - Raw Score	0 :: 12	Higher scores indicate more severe sexual abuse during childhood	N/A
ctqsf_emoneg_rs	Float	N/A	Recommended	CTQ-SF: Emotional Neglect - Raw Score	0 :: 8	Higher scores indicate more severe emotional neglect during childhood	N/A
ctqsf_phyneg_rs	Float	N/A	Recommended	CTQ-SF: Physical Neglect - Raw Score	0 :: 8	Higher scores indicate more severe physical neglect during childhood	N/A
ctqsf_total_rs	Float	N/A	Recommended	CTQ-SF: Total Childhood Trauma - Raw Score	0 :: 44	Higher scores indicate more severe maltreatment during childhood	N/A
childbully_rs	Float	N/A	Recommended	Childhood Bullying - Raw Score	0 :: 8	Higher scores indicate frequent experiences of bullying during childhood	N/A
siteid	Integer	N/A	Recommended	Site ID	10::100	N/A	N/A
ctq_protect	Integer	N/A	Recommended	CTQ: Someone Protect You (Reverse scored)	0 :: 4; -5; -7; -8	"4=Never; 3=Rarely; 2=Sometimes; 1=Often; 0=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_feel_special	Integer	N/A	Recommended	CTQ: Family Helped Feel Important (Reverse scored)	0 :: 4; -5; -7; -8	"4=Never; 3=Rarely; 2=Sometimes; 1=Often; 0=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_felt_loved	Integer	N/A	Recommended	CTQ: Felt Loved (Reverse scored)	0 :: 4; -5; -7; -8	"4=Never; 3=Rarely; 2=Sometimes; 1=Often; 0=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_take_to_doctor	Integer	N/A	Recommended	CTQ: Take You To Doctor (Reverse scored)	0 :: 4; -5; -7; -8	"4=Never; 3=Rarely; 2=Sometimes; 1=Often; 0=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_sexual_things	Integer	N/A	Recommended	CTQ: Make You Do/Watch Sex	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
ctq_molested	Integer	N/A	Recommended	CTQ: Molested You	0 :: 4; -5; -7; -8	"0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very often; -8=DON''T KNOW; -7=REFUSED; -5=Presented	 not answered"	N/A
custom_src_id	String	30	Recommended	Subject ID how it's defined in lab/project (used for source IDs that change depending on timepoint/visit/etc.)	N/A	N/A	N/A
ctq_pn_sum	Integer	N/A	Recommended	Physical Neglect	5::25	sum(ctq_01 + ctq_002 + ctq_04 + ctq_06 + ctq_026)	N/A
ctq_002	Integer	N/A	Recommended	2.  I knew there was someone to take care of me and protect me. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused; 88= Missing	N/A
ctq_025	Integer	N/A	Recommended	25.  I believe that I was emotionally abused.	1::5; -99; 77; 88	1=Never true; 2=Rarely true; 3=Sometimes true; 4=Often true; 5=Very often true/Always; -99= N/A ; 77= Refused; 88= Missing	N/A
ctq_026	Integer	N/A	Recommended	26.  There was someone to take me to the doctor if I needed it. (Reverse Scoring)	1::5; -99; 77; 88	5=Never true; 4=Rarely true; 3=Sometimes true; 2=Often true; 1=Very often true/Always; -99= N/A ; 77= Refused; 88= Missing	N/A
ctq_ea_sum	Integer	N/A	Recommended	Emotional Abuse	5::25	sum(ctq_03 + ctq_08 + ctq_14 + ctq_18 + ctq_025)	ctq_ea
ctq_pa_sum	Integer	N/A	Recommended	Physical Abuse	5::25	sum(ctq_09 + ctq_11 + ctq_12 + ctq_15 + ctq_17)	ctq_pa
ctq_sa_sum	Integer	N/A	Recommended	Sexual Abuse	5::25	sum(ctq_20 + ctq_21 + ctq_23 + ctq_24 + ctq_27)	ctq_sa
ctq_en_sum	Integer	N/A	Recommended	Emotional Neglect	5::25	sum(ctq_05 + ctq_07 + ctq_13 + ctq_19 + ctq_28)	N/A
ctq10_score	Integer	N/A	Recommended	Item 10 Score	N/A	"Calculation:?if([ctq_10] greater than 1	1	0)"	N/A
ctq16_score	Integer	N/A	Recommended	Item 16 Score	N/A	"Calculation:?if([ctq_16] greater than 1	1	0)"	N/A
ctq22_score	Integer	N/A	Recommended	Item 22 Score	N/A	"Calculation:?if([ctq_22] greater than 1	1	0)"	N/A
ctq_md	Integer	N/A	Recommended	Minimization/Denial Scale	N/A	Calculation:?[ctq10_score]+[ctq16_score]+[ctq22_score]	N/A
ctq_pn	Integer	N/A	Recommended	Physical Neglect Subscale	N/A	Calculation:?[ctq_1]+(6-[ctq_2])+[ctq_4]+[ctq_6]+(6-[ctq_26])	N/A
ctq_en	Integer	N/A	Recommended	Emotional Neglect Subscale	N/A	Calculation:?(6-[ctq_5])+(6-[ctq_7])+(6-[ctq_13])+(6-[ctq_19])+(6-[ctq_28])	N/A
